LAT_LONG,DAU_CODE
35.502222_-119.253889,256
35.50727_-119.36006,256
35.532069_-119.476597,255
35.532314_-119.47958,255
35.542778_-119.486389,255
35.543333_-119.484444,255
35.551611_-119.118819,256
35.56463_-119.31339,256
35.5775_-119.3475,256
35.616737_-119.616968,255
35.66003_-119.502709,255
35.717778_-119.625556,255
35.720833_-119.633611,255
35.723333_-119.625278,255
35.724296_-119.625149,255
35.727222_-119.624722,255
35.728333_-119.631389,255
35.731952_-119.623947,255
35.73486_-119.49026,255
35.743056_-119.628889,255
35.748333_-119.581667,255
35.749722_-119.598333,255
35.76_-119.5808,255
35.76_-119.580833,255
36.079722_-119.553889,241
36.080556_-119.559444,241
36.094167_-119.500278,242
36.099444_-119.561111,241
36.111389_-119.5625,241
36.137778_-119.519167,242
36.218056_-119.735556,238
36.225833_-119.726944,238
36.256944_-119.877778,244
36.263333_-119.775,238
36.265556_-119.860556,237
36.268333_-119.871111,244
36.269722_-119.858056,238
36.27599_-119.855529,238
36.276109_-119.198742,242
36.276194_-119.216124,242
36.287222_-119.834444,238
36.2875_-119.574167,238
36.290278_-119.822222,238
36.290661_-119.21609,242
36.291111_-119.676389,238
36.304452_-119.144631,242
36.304722_-119.661667,238
36.305406_-119.376406,242
36.305468_-119.358468,242
36.305556_-119.7875,238
36.309722_-119.708333,238
36.318333_-119.683611,238
36.319167_-119.948889,244
36.319272_-119.79354,238
36.320008_-119.358617,242
36.328611_-119.810833,238
36.33_-119.665556,238
36.334607_-119.376648,242
36.334666_-119.305372,242
36.334722_-119.648056,238
36.335_-119.618889,238
36.336944_-119.913333,244
36.342222_-119.623611,238
36.343611_-119.894444,237
36.346389_-119.711944,238
36.346944_-119.641667,238
36.348611_-119.833889,237
36.350556_-119.775833,238
36.350833_-119.622222,238
36.351111_-119.670833,238
36.351743_-119.631479,238
36.353056_-119.854167,237
36.356944_-119.673056,238
36.357778_-119.638611,238
36.363085_-119.448625,242
36.363578_-119.430251,242
36.363612_-119.412505,242
36.363762_-119.323217,242
36.363784_-119.341052,242
36.366667_-119.637222,238
36.368056_-119.614167,238
36.372222_-119.538056,242
36.3725_-119.765,238
36.373889_-119.886111,237
36.378061_-119.233957,242
36.383611_-119.870278,237
36.390278_-119.765,238
36.391901_-119.070295,242
36.392222_-119.519722,242
36.401111_-119.726667,238
36.409222_-119.842167,237
36.41_-119.701944,238
36.411917_-119.833972,237
36.414111_-119.856972,237
36.419833_-119.845694,237
36.420306_-119.863389,237
36.420528_-119.843694,237
36.421449_-119.286978,242
36.423667_-119.856472,237
36.423806_-119.857944,237
36.423861_-119.783111,237
36.425833_-119.845556,237
36.4265_-119.846139,237
36.427056_-119.692639,237
36.427528_-119.853833,237
36.428041_-119.860025,237
36.428278_-119.705056,237
36.429167_-119.69,237
36.429167_-119.731389,237
36.429444_-119.682111,237
36.43_-119.681111,237
36.430583_-119.842139,237
36.430852_-119.684508,237
36.430861_-119.826333,237
36.431722_-119.865944,237
36.433389_-119.862,237
36.433472_-119.858472,237
36.434861_-119.856944,237
36.435139_-119.8655,237
36.435528_-119.674139,237
36.43591_-119.286759,239
36.437092_-119.46584,239
36.437667_-119.8795,237
36.438417_-119.867556,237
36.438889_-119.688111,237
36.441111_-119.677167,235
36.446972_-119.873361,237
36.447085_-119.879028,237
36.451647_-119.465682,239
36.452778_-119.862778,237
36.456667_-119.481667,239
36.458889_-119.593194,236
36.459083_-120.046556,237
36.4665_-119.933194,237
36.467889_-119.936306,237
36.469722_-119.940361,237
36.48325_-119.544472,236
36.485306_-119.541167,236
36.489333_-119.615361,236
36.489444_-119.620722,236
36.493_-119.620194,236
36.493836_-119.277576,239
36.496061_-119.511937,239
36.496087_-119.529961,239
36.49625_-119.614167,236
36.496472_-119.620194,236
36.500083_-119.617917,236
36.5029_-120.389708,244
36.509128_-119.349581,239
36.515083_-119.548972,236
36.5185_-119.539389,236
36.521056_-119.539972,236
36.521778_-119.557778,236
36.522667_-119.532278,236
36.52396_-119.385857,239
36.53519_-120.100009,237
36.538056_-119.832611,236
36.552776_-119.367715,239
36.552885_-119.386026,239
36.553241_-119.403976,239
36.553943_-119.475931,239
36.567389_-119.602667,236
36.567445_-119.386012,239
36.574667_-119.369833,239
36.576163_-119.618961,236
36.578556_-119.622778,236
36.579861_-119.592667,236
36.581444_-119.595167,236
36.583472_-119.597444,236
36.5835_-119.601167,236
36.584778_-119.596,236
36.591222_-119.561361,236
36.593472_-119.445639,239
36.601556_-119.570306,236
36.601639_-119.566,236
36.606083_-119.907417,235
36.606444_-119.33625,240
36.607778_-119.465306,236
36.6085_-119.327333,240
36.608694_-119.331361,240
36.609667_-119.465194,236
36.6105_-119.327222,240
36.610611_-119.336,240
36.612167_-119.335417,240
36.612361_-119.546778,236
36.614083_-119.339611,240
36.617361_-119.333694,240
36.617889_-119.333472,240
36.621222_-119.331917,240
36.623861_-119.310306,240
36.624222_-119.333083,240
36.625_-119.328722,240
36.627222_-119.3075,240
36.628222_-119.326833,240
36.628806_-119.320972,240
36.629083_-119.322861,240
36.629944_-119.321333,240
36.633083_-119.676472,236
36.633861_-119.674833,236
36.634583_-119.673111,236
36.636985_-120.624068,244
36.637139_-119.678111,236
36.643085_-120.255961,237
36.64532_-120.287279,237
36.646419_-120.252222,237
36.647015_-120.266575,237
36.649189_-120.261113,237
36.65109_-120.24892,237
36.652513_-119.596006,236
36.653333_-119.531111,236
36.6538_-119.527375,236
36.654081_-119.53045,236
36.65428_-120.260863,237
36.65525_-119.59325,236
36.655606_-119.530806,236
36.655764_-119.533661,236
36.659628_-119.534886,236
36.671474_-120.260751,235
36.678278_-119.401472,240
36.68109_-120.34583,235
36.681536_-120.343096,235
36.685158_-120.261211,235
36.685562_-120.297502,235
36.686668_-120.3225,235
36.689999_-120.29139,235
36.692222_-120.278893,235
36.706639_-119.536566,236
36.710326_-119.53557,236
36.713961_-119.564886,236
36.720933_-119.505208,236
36.720947_-119.503747,236
36.722361_-119.501583,236
36.723033_-119.504122,236
36.724283_-119.502072,236
36.724528_-119.461528,239
36.725297_-120.3097,235
36.726127_-120.315904,235
36.726258_-119.497617,236
36.728639_-119.502111,236
36.731969_-119.469997,236
36.732386_-119.500131,233
36.732611_-119.453111,239
36.733906_-120.340904,235
36.736111_-119.465639,239
36.7375_-119.466056,236
36.740139_-119.447556,239
36.740278_-119.867222,233
36.741778_-119.44875,239
36.742944_-119.461528,239
36.743444_-119.446139,239
36.743908_-119.690345,233
36.744928_-119.457178,239
36.745278_-119.458528,239
36.748096_-120.22226,235
36.751436_-119.445386,239
36.760886_-120.314116,235
36.761733_-120.379922,235
36.77198_-119.617286,233
36.773094_-119.418722,240
36.795933_-119.601268,233
36.796389_-119.593889,233
36.799444_-119.592222,233
36.801029_-119.583263,233
36.802354_-119.598589,233
36.804121_-119.591879,233
36.807967_-119.581489,234
36.80902_-120.133097,235
36.809558_-119.658939,233
36.810553_-119.742726,233
36.810942_-119.773539,233
36.813306_-119.7333,233
36.814342_-119.741886,233
36.814478_-119.731708,233
36.816682_-119.625816,233
36.816933_-119.733497,233
36.819475_-119.743744,233
36.819489_-119.73015,233
36.819506_-119.733492,233
36.821511_-119.733119,233
36.821633_-119.730558,233
36.821856_-119.735528,233
36.822703_-119.729461,233
36.822783_-119.745358,233
36.826664_-119.732597,233
36.826681_-119.734556,233
